Chord,Correct,Total,Accuracy (%)
Amin,113,220,51.36
Bbmaj,180,220,81.82
Bdim,44,220,20.00
Cmaj,145,220,65.91
Dmin,146,220,66.36
Emin,114,220,51.82
Fmaj,170,220,77.27
Gmaj,141,220,64.09
