True/Predicted,Amin,Bbmaj,Bdim,Cmaj,Dmin,Emin,Fmaj,Gmaj
Amin,113,0,0,5,0,3,0,0
Bbmaj,0,180,0,0,2,0,0,0
Bdim,0,0,44,0,1,0,3,0
Cmaj,0,0,0,145,0,1,0,1
Dmin,1,0,0,0,146,0,0,0
Emin,0,0,0,2,0,114,0,1
Fmaj,7,0,0,1,0,0,170,0
Gmaj,0,0,0,0,2,0,1,141
