True/Predicted,Abdim,Adim,Bbdim,Bdim,Cdim,Dbdim,Ddim,Ebdim,Edim,Fdim,Gbdim,Gdim
Abdim,900,0,0,0,0,0,0,0,0,0,0,0
Adim,0,900,0,0,0,0,0,0,0,0,0,0
Bbdim,0,0,890,0,0,0,0,0,0,0,0,0
Bdim,0,0,0,900,0,0,0,0,0,0,0,0
Cdim,0,0,0,0,820,0,0,0,0,0,0,0
Dbdim,0,0,0,0,0,830,0,0,0,0,0,0
Ddim,0,0,0,0,0,0,790,0,0,0,0,0
Ebdim,0,0,0,0,0,0,0,700,0,0,0,0
Edim,0,0,0,0,0,0,0,0,700,0,0,0
Fdim,0,0,0,0,0,0,0,0,0,700,0,0
Gbdim,0,0,0,0,0,0,0,0,0,0,700,0
Gdim,0,0,0,0,0,0,0,0,0,0,0,700
